HS_Code,Year,Total_USD,China_USD,India_USD,ROW_USD,Share_China_pct,Share_India_pct,Share_ROW_pct,HHI
294110,2018,118165201,44153389,3382240,70629572,37.37,2.86,59.77,4977.1
294110,2019,114633721,59195346,4568308,50870067,51.64,3.99,44.38,4651.7
294110,2020,79074767,48407459,1424022,29243286,61.22,1.8,36.98,5118.5
294110,2021,75221572,31002999,1935834,42282739,41.22,2.57,56.21,4865.0
294110,2022,120900605,64065711,1687547,55147347,52.99,1.4,45.61,4890.5
294110,2023,61167305,18042217,266897,42858191,29.5,0.44,70.07,5779.6
294110,2024,79086831,24600867,622304,53863660,31.11,0.79,68.11,5606.8
294110,2025,58927589,13831881,632153,44463555,23.47,1.07,75.45,6245.5
294130,2018,70149467,46735628,421160,22992679,66.62,0.6,32.78,5513.3
294130,2019,104535701,94138778,241847,10155076,90.05,0.23,9.71,8204.2
294130,2020,57147561,42706868,13706,14426987,74.73,0.02,25.25,6222.0
294130,2021,44088106,35535172,83673,8469261,80.6,0.19,19.21,6865.5
294130,2022,43174143,30184905,253078,12736160,69.91,0.59,29.5,5758.6
294130,2023,64042514,45586017,31925,18424572,71.18,0.05,28.77,5894.4
294130,2024,62648476,51333304,36554,11278618,81.94,0.06,18.0,7038.1
294130,2025,114533142,98431648,34932,16066562,85.94,0.03,14.03,7582.7
294150,2018,11713264,1793504,1038110,8881650,15.31,8.86,75.83,6062.5
294150,2019,19954492,4735400,1097300,14121792,23.73,5.5,70.77,5601.8
294150,2020,19216918,9677320,1538847,8000751,50.36,8.01,41.63,4333.5
294150,2021,13300482,7233504,1944333,4122645,54.39,14.62,31.0,4132.2
294150,2022,14083944,3521865,2852195,7709884,25.01,20.25,54.74,4032.2
294150,2023,16148166,10992787,2687942,2467437,68.07,16.65,15.28,5144.7
294150,2024,16127883,13402515,2041936,683432,83.1,12.66,4.24,7084.1
294150,2025,6589717,4001076,2119328,469313,60.72,32.16,7.12,4771.6
294190,2018,654024874,133239882,48301628,472483364,20.37,7.39,72.24,5688.5
294190,2019,605358486,146112127,21699403,437546956,24.14,3.58,72.28,5819.7
294190,2020,465344194,95560718,16022290,353761186,20.54,3.44,76.02,6212.8
294190,2021,541772393,101432444,23100615,417239334,18.72,4.26,77.01,6299.8
294190,2022,564986168,108905581,36944243,419136344,19.28,6.54,74.19,5917.8
294190,2023,574627782,122551908,30361392,421714482,21.33,5.28,73.39,5868.7
294190,2024,551503555,132584807,34781460,384137288,24.04,6.31,69.65,5469.2
294190,2025,595030971,138583572,17136193,439311206,23.29,2.88,73.83,6001.6
